County,Rank
Adams,82
Allen,9
Ashland,61
Ashtabula,28
Athens,22
Auglaize,85
Belmont,47
Brown,66
Butler,20
Carroll,75
Champaign,33
Clark,10
Clermont,71
Clinton,43
Columbiana,63
Coshocton,58
Crawford,67
Cuyahoga,1
Darke,77
Defiance,17
Delaware,41
Erie,11
Fairfield,78
Fayette,32
Franklin,5
Fulton,27
Gallia,26
Geauga,60
Greene,12
Guernsey,59
Hamilton,2
Hancock,40
Hardin,62
Harrison,39
Henry,24
Highland,45
Hocking,73
Holmes,84
Huron,51
Jackson,72
Jefferson,18
Knox,76
Lake,52
Lawrence,42
Licking,50
Logan,48
Lorain,7
Lucas,4
Madison,21
Mahoning,6
Marion,29
Medina,65
Meigs,64
Mercer,74
Miami,44
Monroe,88
Montgomery,3
Morgan,25
Morrow,81
Muskingum,23
Noble,86
Ottawa,36
Paulding,38
Perry,83
Pickaway,56
Pike,54
Portage,35
Preble,80
Putnam,37
Richland,13
Ross,19
Sandusky,15
Scioto,34
Seneca,30
Shelby,68
Stark,14
Summit,8
Trumbull,16
Tuscarawas,69
Union,46
Van Wert,70
Vinton,87
Warren,53
Washington,57
Wayne,55
Williams,49
Wood,31
Wyandot,79
