County,Rank,,,,,,
Adams,81,,County Name,rank,,,
Allen,9,,Jackson,75,,,Marion
Ashland,64,,,,,,Hancock
Ashtabula,28,,,,,,Clermont
Athens,22,,,,,,Highland
Auglaize,78,,,,,,Paulding
Belmont,59,,,,,,Meigs
Brown,71,,,,,,Morrow
Butler,23,,,,,,Morgan
Carroll,77,,,,,,Ashtabula
Champaign,40,,,,,,Tuscarawas
Clark,11,,,,,,Columbiana
Clermont,50,,,,,,Clark
Clinton,50,,,,,,Preble
Columbiana,65,,,,,,Medina
Coshocton,66,,,,,,Sandusky
Crawford,72,,,,,,Fulton
Cuyahoga,1,,,,,,Shelby
Darke,74,,,,,,Brown
Defiance,16,,,,,,Coshocton
Delaware,41,,,,,,Lucas
Erie,10,,,,,,Adams
Fairfield,61,,,,,,Hamilton
Fayette,43,,,,,,Hardin
Franklin,5,,,,,,Mercer
Fulton,26,,,,,,Belmont
Gallia,39,,,,,,Montgomery
Geauga,60,,,,,,Washington
Greene,12,,,,,,Wayne
Guernsey,58,,,,,,Putnam
Hamilton,2,,,,,,Clinton
Hancock,37,,,,,,Franklin
Hardin,68,,,,,,Richland
Harrison,49,,,,,,Williams
Henry,25,,,,,,Mahoning
Highland,55,,,,,,Cuyahoga
Hocking,70,,,,,,Ottawa
Holmes,84,,,,,,Jackson
Huron,44,,,,,,
Jackson,75,,,,,,
Jefferson,21,,,,,,
Knox,69,,,,,,
Lake,46,,,,,,
Lawrence,48,,,,,,
Licking,53,,,,,,
Logan,47,,,,,,
Lorain,7,,,,,,
Lucas,4,,,,,,
Madison,14,,,,,,
Mahoning,6,,,,,,
Marion,24,,,,,,
Medina,67,,,,,,
Meigs,76,,,,,,
Mercer,80,,,,,,
Miami,45,,,,,,
Monroe,86,,,,,,
Montgomery,3,,,,,,
Morgan,30,,,,,,
Morrow,83,,,,,,
Muskingum,29,,,,,,
Noble,88,,,,,,
Ottawa,32,,,,,,
Paulding,34,,,,,,
Perry,85,,,,,,
Pickaway,20,,,,,,
Pike,62,,,,,,
Portage,36,,,,,,
Preble,82,,,,,,
Putnam,35,,,,,,
Richland,13,,,,,,
Ross,19,,,,,,
Sandusky,15,,,,,,
Scioto,38,,,,,,
Seneca,27,,,,,,
Shelby,52,,,,,,
Stark,18,,,,,,
Summit,8,,,,,,
Trumbull,17,,,,,,
Tuscarawas,73,,,,,,
Union,31,,,,,,
Van Wert,57,,,,,,
Vinton,87,,,,,,
Warren,42,,,,,,
Washington,63,,,,,,
Wayne,56,,,,,,
Williams,54,,,,,,
Wood,33,,,,,,
Wyandot,79,,,,,,
