1980,1990,2000,2010
82,81,80,84
9,9,9,9
61,64,70,73
28,28,27,29
22,22,29,32
85,78,82,77
47,59,40,43
66,71,78,79
20,23,18,10
75,77,81,82
33,40,52,51
10,11,12,13
71,50,61,56
43,50,53,49
63,65,49,54
58,66,66,75
67,72,73,71
1,1,1,1
77,74,77,69
17,16,15,16
41,41,32,19
11,10,10,11
78,61,41,21
32,43,48,47
5,5,3,3
27,26,25,24
26,39,46,48
60,60,65,63
12,12,13,12
59,58,58,64
2,2,2,2
40,37,31,27
62,68,68,66
39,49,59,65
24,25,26,30
45,55,60,68
73,70,76,78
84,84,86,86
51,44,36,35
72,75,75,76
18,21,24,33
76,69,71,67
52,46,39,28
42,48,57,59
50,53,50,38
48,47,56,58
7,7,7,8
4,4,4,4
21,14,19,22
6,6,6,6
29,24,21,23
65,67,62,55
64,76,79,81
74,80,74,72
44,45,51,45
88,86,88,88
3,3,5,5
25,30,43,52
81,83,84,80
23,29,34,42
86,88,23,60
36,32,38,41
38,34,42,39
83,85,87,87
56,20,20,44
54,62,64,74
35,36,35,34
80,82,85,83
37,35,37,37
13,13,11,15
19,19,22,26
15,15,14,14
34,38,45,46
30,27,30,31
68,52,54,50
14,18,17,18
8,8,8,7
16,17,16,17
69,73,72,61
46,31,44,36
70,57,63,57
87,87,83,85
53,42,33,20
57,63,69,70
55,56,55,53
49,54,47,40
31,33,28,25
79,79,67,62
